order_id,customer_id,product_id,order_date,supplier_id,order_qty
ORD-00001,CUS-00060,PRO-00046,2026-05-16 21:44:42,SUP-00122,38
ORD-00002,CUS-00003,PRO-00055,2026-06-05 09:18:02,SUP-00042,45
ORD-00003,CUS-00026,PRO-00143,2026-04-28 08:51:38,SUP-00105,14
ORD-00004,CUS-00016,PRO-00073,2026-04-27 18:41:51,SUP-00106,48
ORD-00005,CUS-00103,PRO-00146,2026-05-19 05:36:17,SUP-00051,43
ORD-00006,CUS-00156,PRO-00087,2026-06-11 21:04:08,SUP-00145,2
ORD-00007,CUS-00102,PRO-00030,2026-04-26 22:11:00,SUP-00040,44
ORD-00008,CUS-00147,PRO-00012,2026-05-22 08:57:35,SUP-00032,7
ORD-00009,CUS-00054,PRO-00144,2026-05-29 23:23:03,SUP-00118,42
ORD-00010,CUS-00133,PRO-00128,2026-05-10 09:49:58,SUP-00155,23
ORD-00011,CUS-00014,PRO-00038,2026-06-01 04:25:02,SUP-00102,19
ORD-00012,CUS-00014,PRO-00146,2026-05-09 03:00:03,SUP-00003,38
ORD-00013,CUS-00155,PRO-00037,2026-06-10 20:45:43,SUP-00055,18
ORD-00014,CUS-00079,PRO-00145,2026-05-08 09:26:43,SUP-00018,22
ORD-00015,CUS-00056,PRO-00093,2026-06-02 07:35:26,SUP-00016,10
ORD-00016,CUS-00116,PRO-00090,2026-05-30 11:54:37,SUP-00118,46
ORD-00017,CUS-00090,PRO-00020,2026-05-23 18:57:44,SUP-00060,17
ORD-00018,CUS-00096,PRO-00084,2026-06-05 09:40:22,SUP-00143,21
ORD-00019,CUS-00070,PRO-00143,2026-05-13 04:34:32,SUP-00013,34
ORD-00020,CUS-00130,PRO-00065,2026-05-05 14:40:33,SUP-00117,20
ORD-00021,CUS-00141,PRO-00103,2026-05-01 21:01:40,SUP-00121,28
ORD-00022,CUS-00135,PRO-00108,2026-05-07 03:21:57,SUP-00147,23
ORD-00023,CUS-00049,PRO-00051,2026-06-05 12:13:12,SUP-00006,31
ORD-00024,CUS-00153,PRO-00050,2026-05-19 03:09:18,SUP-00088,11
ORD-00025,CUS-00057,PRO-00008,2026-05-10 23:38:26,SUP-00002,8
ORD-00026,CUS-00046,PRO-00027,2026-06-01 16:54:45,SUP-00135,15
ORD-00027,CUS-00093,PRO-00116,2026-05-12 11:21:32,SUP-00022,45
ORD-00028,CUS-00133,PRO-00018,2026-05-13 14:01:44,SUP-00089,36
ORD-00029,CUS-00072,PRO-00041,2026-05-23 14:34:16,SUP-00125,27
ORD-00030,CUS-00092,PRO-00147,2026-05-31 16:33:25,SUP-00076,41
ORD-00031,CUS-00066,PRO-00074,2026-04-27 08:26:32,SUP-00142,34
ORD-00032,CUS-00142,PRO-00133,2026-06-02 06:54:46,SUP-00034,14
ORD-00033,CUS-00108,PRO-00108,2026-05-21 00:13:58,SUP-00026,2
ORD-00034,CUS-00043,PRO-00081,2026-06-05 02:03:44,SUP-00059,48
ORD-00035,CUS-00095,PRO-00138,2026-05-19 13:51:02,SUP-00104,18
ORD-00036,CUS-00084,PRO-00002,2026-04-29 00:13:04,SUP-00147,29
ORD-00037,CUS-00076,PRO-00060,2026-06-02 08:44:49,SUP-00098,40
