product_id,product_name,category
PRO-00001,Router,Networking Equipment
PRO-00002,Server,Computing & Storage
PRO-00003,Switch,Networking Equipment
PRO-00004,Storage,Computing & Storage
PRO-00005,Storage,Computing & Storage
PRO-00006,Router,Networking Equipment
PRO-00007,Laptop,Computing & Storage
PRO-00008,Switch,Networking Equipment
PRO-00009,Router,Networking Equipment
PRO-00010,Switch,Networking Equipment
PRO-00011,Laptop,Computing & Storage
PRO-00012,Server,Computing & Storage
PRO-00013,Router,Networking Equipment
PRO-00014,Router,Networking Equipment
PRO-00015,Storage,Computing & Storage
PRO-00016,Server,Computing & Storage
PRO-00017,Router,Networking Equipment
PRO-00018,Router,Networking Equipment
PRO-00019,Storage,Computing & Storage
PRO-00020,Server,Computing & Storage
PRO-00021,Storage,Computing & Storage
PRO-00022,Laptop,Computing & Storage
PRO-00023,Switch,Networking Equipment
PRO-00024,Laptop,Computing & Storage
PRO-00025,Laptop,Computing & Storage
PRO-00026,Router,Networking Equipment
PRO-00027,Laptop,Computing & Storage
PRO-00028,Storage,Computing & Storage
PRO-00029,Laptop,Computing & Storage
PRO-00030,Server,Computing & Storage
PRO-00031,Router,Networking Equipment
PRO-00032,Router,Networking Equipment
PRO-00033,Laptop,Computing & Storage
PRO-00034,Server,Computing & Storage
PRO-00035,Storage,Computing & Storage
PRO-00036,Switch,Networking Equipment
PRO-00037,Switch,Networking Equipment
PRO-00038,Switch,Networking Equipment
PRO-00039,Switch,Networking Equipment
PRO-00040,Switch,Networking Equipment
PRO-00041,Storage,Computing & Storage
PRO-00042,Laptop,Computing & Storage
PRO-00043,Laptop,Computing & Storage
PRO-00044,Switch,Networking Equipment
PRO-00045,Switch,Networking Equipment
PRO-00046,Switch,Networking Equipment
PRO-00047,Storage,Computing & Storage
PRO-00048,Router,Networking Equipment
PRO-00049,Server,Computing & Storage
PRO-00050,Server,Computing & Storage
PRO-00051,Router,Networking Equipment
PRO-00052,Laptop,Computing & Storage
PRO-00053,Server,Computing & Storage
PRO-00054,Router,Networking Equipment
PRO-00055,Switch,Networking Equipment
PRO-00056,Laptop,Computing & Storage
PRO-00057,Switch,Networking Equipment
PRO-00058,Storage,Computing & Storage
PRO-00059,Storage,Computing & Storage
PRO-00060,Router,Networking Equipment
PRO-00061,Laptop,Computing & Storage
PRO-00062,Router,Networking Equipment
PRO-00063,Storage,Computing & Storage
PRO-00064,Switch,Networking Equipment
PRO-00065,Switch,Networking Equipment
PRO-00066,Switch,Networking Equipment
PRO-00067,Server,Computing & Storage
PRO-00068,Server,Computing & Storage
PRO-00069,Storage,Computing & Storage
PRO-00070,Router,Networking Equipment
PRO-00071,Laptop,Computing & Storage
PRO-00072,Switch,Networking Equipment
PRO-00073,Switch,Networking Equipment
PRO-00074,Switch,Networking Equipment
PRO-00075,Laptop,Computing & Storage
PRO-00076,Storage,Computing & Storage
PRO-00077,Router,Networking Equipment
PRO-00078,Storage,Computing & Storage
PRO-00079,Router,Networking Equipment
PRO-00080,Router,Networking Equipment
PRO-00081,Laptop,Computing & Storage
PRO-00082,Router,Networking Equipment
PRO-00083,Server,Computing & Storage
PRO-00084,Switch,Networking Equipment
PRO-00085,Laptop,Computing & Storage
PRO-00086,Router,Networking Equipment
PRO-00087,Switch,Networking Equipment
PRO-00088,Server,Computing & Storage
PRO-00089,Server,Computing & Storage
PRO-00090,Storage,Computing & Storage
PRO-00091,Storage,Computing & Storage
PRO-00092,Router,Networking Equipment
PRO-00093,Switch,Networking Equipment
PRO-00094,Router,Networking Equipment
PRO-00095,Switch,Networking Equipment
PRO-00096,Router,Networking Equipment
PRO-00097,Router,Networking Equipment
PRO-00098,Switch,Networking Equipment
PRO-00099,Storage,Computing & Storage
PRO-00100,Storage,Computing & Storage
PRO-00101,Server,Computing & Storage
PRO-00102,Server,Computing & Storage
PRO-00103,Laptop,Computing & Storage
PRO-00104,Storage,Computing & Storage
PRO-00105,Router,Networking Equipment
PRO-00106,Router,Networking Equipment
PRO-00107,Switch,Networking Equipment
PRO-00108,Server,Computing & Storage
PRO-00109,Laptop,Computing & Storage
PRO-00110,Router,Networking Equipment
PRO-00111,Laptop,Computing & Storage
PRO-00112,Switch,Networking Equipment
PRO-00113,Server,Computing & Storage
PRO-00114,Switch,Networking Equipment
PRO-00115,Storage,Computing & Storage
PRO-00116,Switch,Networking Equipment
PRO-00117,Laptop,Computing & Storage
PRO-00118,Storage,Computing & Storage
PRO-00119,Router,Networking Equipment
PRO-00120,Switch,Networking Equipment
PRO-00121,Router,Networking Equipment
PRO-00122,Server,Computing & Storage
PRO-00123,Storage,Computing & Storage
PRO-00124,Storage,Computing & Storage
PRO-00125,Router,Networking Equipment
PRO-00126,Storage,Computing & Storage
PRO-00127,Laptop,Computing & Storage
PRO-00128,Laptop,Computing & Storage
PRO-00129,Storage,Computing & Storage
PRO-00130,Storage,Computing & Storage
PRO-00131,Switch,Networking Equipment
PRO-00132,Switch,Networking Equipment
PRO-00133,Router,Networking Equipment
PRO-00134,Router,Networking Equipment
PRO-00135,Switch,Networking Equipment
PRO-00136,Laptop,Computing & Storage
PRO-00137,Server,Computing & Storage
PRO-00138,Laptop,Computing & Storage
PRO-00139,Switch,Networking Equipment
PRO-00140,Laptop,Computing & Storage
PRO-00141,Switch,Networking Equipment
PRO-00142,Switch,Networking Equipment
PRO-00143,Server,Computing & Storage
PRO-00144,Server,Computing & Storage
PRO-00145,Server,Computing & Storage
PRO-00146,Router,Networking Equipment
PRO-00147,Storage,Computing & Storage
PRO-00148,Laptop,Computing & Storage
PRO-00149,Switch,Networking Equipment
PRO-00150,Storage,Computing & Storage
PRO-00151,Laptop,Computing & Storage
PRO-00152,Switch,Networking Equipment
PRO-00153,Server,Computing & Storage
PRO-00154,Router,Networking Equipment
PRO-00155,Storage,Computing & Storage
PRO-00156,Switch,Networking Equipment
