shipment_id,order_id,shipping_date,delivery_status,delivery_time_days,warehouse
SHP-00001,ORD-00118,2026-06-29,Pending,12,WH-A
SHP-00002,ORD-00007,2026-06-06,Delayed,13,WH-A
SHP-00003,ORD-00112,2026-06-04,Delivered,,WH-C
SHP-00004,ORD-00003,2026-06-13,Delivered,,WH-B
SHP-00005,ORD-00056,2026-06-02,Delayed,14,WH-B
SHP-00006,ORD-00060,2026-06-02,Delayed,3,WH-A
SHP-00007,ORD-00150,2026-06-16,Delayed,6,WH-C
SHP-00008,ORD-00036,2026-06-22,Delayed,8,WH-B
SHP-00009,ORD-00115,2026-06-08,Pending,12,WH-A
SHP-00010,ORD-00031,2026-06-03,Delivered,,WH-C
SHP-00011,ORD-00059,2026-06-12,Delayed,8,WH-B
SHP-00012,ORD-00030,2026-06-26,Delivered,,WH-B
SHP-00013,ORD-00140,2026-06-08,Delayed,7,WH-B
SHP-00014,ORD-00100,2026-06-04,Delayed,3,WH-C
SHP-00015,ORD-00151,2026-06-17,Pending,2,WH-C
SHP-00016,ORD-00108,2026-06-08,Delayed,4,WH-C
SHP-00017,ORD-00123,2026-06-06,Pending,5,WH-A
SHP-00018,ORD-00070,2026-06-26,Delivered,,WH-B
SHP-00019,ORD-00061,2026-06-11,Delayed,10,WH-B
SHP-00020,ORD-00068,2026-06-21,Delivered,,WH-A
SHP-00021,ORD-00069,2026-06-20,Delivered,,WH-C
SHP-00022,ORD-00110,2026-06-19,Delivered,,WH-B
SHP-00023,ORD-00121,2026-06-17,Delivered,,WH-A
SHP-00024,ORD-00118,2026-06-26,Delivered,,WH-C
SHP-00025,ORD-00042,2026-06-13,Delivered,,WH-A
SHP-00026,ORD-00103,2026-06-05,Delivered,,WH-C
SHP-00027,ORD-00134,2026-06-13,Pending,5,WH-B
SHP-00028,ORD-00099,2026-06-19,Delivered,,WH-A
SHP-00029,ORD-00104,2026-06-25,Delayed,3,WH-C
SHP-00030,ORD-00012,2026-06-21,Pending,11,WH-C
SHP-00031,ORD-00128,2026-06-01,Delayed,7,WH-A
SHP-00032,ORD-00083,2026-06-08,Delayed,3,WH-C
SHP-00033,ORD-00022,2026-06-28,Delayed,7,WH-B
SHP-00034,ORD-00069,2026-06-19,Delayed,3,WH-A
SHP-00035,ORD-00069,2026-06-06,Delivered,,WH-B
SHP-00036,ORD-00149,2026-06-19,Delivered,,WH-C
SHP-00037,ORD-00014,2026-06-23,Delayed,8,WH-C
SHP-00038,ORD-00069,2026-06-05,Pending,1,WH-C
SHP-00039,ORD-00034,2026-06-28,Delivered,,WH-B
SHP-00040,ORD-00024,2026-06-04,Delayed,3,WH-A
SHP-00041,ORD-00123,2026-06-13,Pending,1,WH-B
SHP-00042,ORD-00088,2026-06-22,Delayed,1,WH-B
SHP-00043,ORD-00010,2026-06-21,Pending,5,WH-B
SHP-00044,ORD-00055,2026-06-15,Delivered,,WH-B
SHP-00045,ORD-00033,2026-06-29,Delivered,,WH-C
SHP-00046,ORD-00073,2026-06-25,Delivered,,WH-B
SHP-00047,ORD-00106,2026-06-06,Pending,9,WH-C
SHP-00048,ORD-00145,2026-06-21,Delivered,,WH-B
SHP-00049,ORD-00121,2026-06-27,Pending,5,WH-C
SHP-00050,ORD-00053,2026-06-18,Pending,7,WH-C
SHP-00051,ORD-00087,2026-06-11,Delivered,,WH-A
